song_artist,song_name
the black keys,can't find my mind
38 special,hittin' & runnin'
b.b. king,early in the mornin'
jamey johnson,the guitar song
dave brubeck,there'll be some changes made
palace,live well
josé feliciano,loving her was easier
ten years after,love until i die
sarah vaughan,poor butterfly
the statler brothers,ruthless
elton john,song for guy
culture,soon come
kenny g,let it snow! let it snow! let it snow!
hawk nelson,live like you're loved
k kutta,hop up
pixies,caribou
roy ayers ubiquity,sweet tears
mary wells,my baby just cares for me
primo,warmachine
311,visit
imagine dragons,hopeless opus
al green,school days
tammy wynette,let's get together (one last time)
the libertines,don’t look back into the sun
tedeschi trucks band,made up mind
dispatch,so good
alice cooper,little by little
ben howard,the wolves
jamie cullum,these are the days
nina simone,real real
john hartford,up on the hill where they do the boogie
brian simpson,and the story goes
van morrison,i'm not feeling it anymore
weezer,holiday
metro boomin,no complaints
wailing souls,get real
rudemanners,we walked together that night
sonny clark,junka (alternative version)
the expendables,24/7
nina simone,forget
missy elliott,get ur freak on
death cab for cutie,to the ground
nat king cole,vaya con dios
jon bellion,morning in america
bread,guitar man
j.j. cale,i got the same old blues
mariah carey,i don't wanna cry
al jarreau,(a rhyme) this time
cassandra wilson,love is blindness
sam hunt,downtown's dead
nine inch nails,right where it belongs
the beach boys,leaving this town
bad suns,transpose
kongos,something new
the raconteurs,level
the bones of j.r. jones,sing sing
willie nelson,one in a row
king curtis,a whiter shade of pale
the stooges,1969
roy orbison,wedding day
jonny diaz,breathe
fall out boy,i slept with someone in fall out boy and all i got was this stupid song written about me
kiss,psycho circus
macka b,dread a who she love
gary puckett & the union gap,dreams of the everyday housewife
vitamin c,graduation (friends forever)
travis scott,butterfly effect
soul for real,every little thing i do
bargain music,cum down
the kingston trio,haul away
alan jackson,just as i am
xscape,is my living in vain
loudon wainwright iii,hollywood hopeful
coheed and cambria,blood red summer
michael jackson,dear michael
asia,the smile has left your eyes
rza,my black nina
fuel,sunburn
the heavy,burn bright
louis armstrong,dream a little dream of me
bob dylan,one too many mornings
ray price,night life
hank snow,big wheels
case,faded pictures
pete rock & c.l. smooth,mecca & the soul brothers
little feat,one clear moment
"earth, wind & fire",mom
waylon jennings,walk on out of my mind
john cale,gideon's bible
